,Unnamed: 0,id,compendiumUrl,numPages,curatorApiUrl,GENERIC,SAMPLEID,MISSION,STATION,LANDMARK,BAGNUMBER,ORIGINALWEIGHT,SAMPLETYPE,SAMPLESUBTYPE,PRISTINITY,PRISTINITYDATE,HASTHINSECTION,HASDISPLAYSAMPLE,DISPLAYSAMPLENUMBER,GENERICDESCRIPTION,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,sum,Sc ppm,Cr,Co,Cu,Zn,Ga,Ge ppb,As,Se,Rb,Sr,,Nb,Mo,Ru,Rh,Pd ppb,Ag ppb,Cd ppb,In ppb,Sn ppb,Sb ppb,Te ppb,Cs ppm,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W ppb,Re ppb,Os ppb,Ir ppb,Pt ppb,Au ppb,Th ppm,U ppm
0,0,10003,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10003.pdf,10,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10003,10003.0,4.0,Apollo 11,,,ALSRC 1004,213.0,Basalt,Ilmenite,65.562,"January, 26 2015 00:00:00",True,,,"low K, medium-grained, ophitic, few vugs, cristobalite","['39.76', '37.8']","['10.5', '12']","['10.43', '11']","['19.8', '19.8']","['0.3', '0.29']","['6.69', '7.2']","['11.13', '11']","['0.39', '0.39', '0.4', '0.85']","['0.057', '0.053', '0.057', '0.053', '0.06', '0.05']",['0.12'],['0.18'],[],[],[],[],[],[],[],[],[],[],"['0.49', '0.5', '0.49', '0.5', '0.62']","['159', '153', '159', '153', '161']",,[],[],[],[],[],[],[],[],[],[],[],"['0.022', '0.022']","['108', '106', '108', '106']","['15.5', '14.7', '15.5', '14.7']","['47.2', '45.5', '47.2', '45.5']",[],"['40', '38.3', '40', '38.3']","['14.4', '14', '14.4', '14']","['1.81', '1.76', '1.81', '1.76']","['19.5', '19', '19.5', '19']",[],"['21.9', '21.6', '21.9', '21.6']",[],"['13.6', '13.4', '13.6', '13.4']",[],"['13.2', '13', '11.7', '11.6']","['1', '1']",[],[],[],[],[],[],[],[],['1.1'],[]
1,1,10017,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10017.pdf,14,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10017,10017.0,10.0,Apollo 11,,,ALSRC 1004,973.0,Basalt,Ilmenite,43.711000000000006,"March, 03 2015 00:00:00",True,True,"10017,37","high K, fine-grained, olivine, few vesicles and vugs","['40', '40.78', '40.77', '40.14']","['11', '11.71', '11.82', '11.16']","['10', '8.12', '7.92', '8.17']","['19', '19.82', '19.79', '19.38']","['0.35', '0.22', '0.22', '0.25']","['8.5', '7.65', '7.74', '7.72']","['10', '10.55', '10.58', '10.99']","['0.65', '0.51', '0.51', '0.51', '0.51']","['0.22', '0.3', '0.29', '0.3', '0.31']","['0.13', '0.18', '0.15']",['0.22'],[],"['55', '52', '77']","['4600', '2200', '2260', '2463']","['10', '20', '30']",['20'],"['49', '47']",[],[],[],[],"['6', '5.63']","['55', '175']",,[],[],[],[],[],[],[],[],[],[],[],['0.16'],"['120', '309']",['26.6'],['77.3'],[],['59.5'],"['25', '20.9']","['2.1', '2.14']",['27.4'],['4'],['31.7'],[],['20'],[],"['19', '19.2']","['5', '2.66']",['12'],['5'],[],[],[],[],[],[],['4.6'],[]
2,2,10020,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10020.pdf,9,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10020,10020.0,13.0,Apollo 11,,,ALSRC 1004,425.0,Basalt,Ilmenite,27.881,"February, 19 2015 00:00:00",True,True,"10020,57","low K, fine-grained, subophitic to intergranular, moderate vesicles & vugs, cristobalite, large olivine","['38', '39.92', '39.95', '41']","['12', '10.72', '10.52', '10.28']","['11', '10.04', '10.19', '9.83']","['18', '19.35', '19.14', '19.03']","['0.32', '0.24', '0.27', '0.27']","['8', '7.81', '7.87', '7.77']","['10', '11.24', '11.31', '11.96']","['0.59', '0.37', '0.39', '0.37', '0.38']","['0.064', '0.05', '0.05', '0.05', '0.058']","['0.08', '0.07', '0.07']","['0.15', '0.18']",[],"['110', '78']","['2100', '3000', '2736']",['3'],['4.5'],['26'],['5'],[],[],[],"['1.5', '0.63']","['85', '130', '150']",,[],[],[],[],[],[],[],[],[],[],[],[],"['50', '67', '77.1']",['8.11'],['25.8'],[],['23.9'],['9.47'],['1.6'],['12.8'],[],['15.8'],[],['10'],[],"['2.5', '9.87']",['1.43'],[],[],[],[],[],[],[],[],[],[]
3,3,10022,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10022.pdf,5,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10022,10022.0,15.0,Apollo 11,,,Cont.  Bag,95.59,Basalt,Ilmenite,42.19,"December, 03 2014 00:00:00",True,,,"high K, fine-grained, subophitic, many large vesicles","['43', '40.1', '41.5']","['11', '12.2', '11.8']","['7.7', '8.6', '8.5']","['21', '18.9', '20.2', '18.6']","['0.26', '0.25', '0.23', '0.22']","['6.5', '7.74', '6.8']","['9', '10.7', '10.4']","['0.4', '0.91', '0.48']","['0.21', '0.3', '0.26']",[],[],[],"['76.6', '76']","['2800', '2531', '2250', '2254']","['15', '29.8', '29']",['5.1'],['2.9'],['2.9'],[],['0.063'],['0.7'],['5.7'],"['110', '164']",,[],[],[],[],[],['2.3'],[],['7.8'],[],['5.6'],[],['0.2'],"['100', '220', '228']","['25.9', '26.4', '26.4']","['81', '68', '69']",[],"['66', '64']","['20.3', '21.2', '21.2']","['2.15', '2.04', '1.98']","['25', '22.9']","['5.7', '4.7', '4.31']","['31.2', '29']",['8.2'],"['16', '15.6']",[],"['7', '21', '17.7', '17.3']","['2.69', '2.55', '2.39']","['19.6', '21.5']","['1.8', '1']",[],[],[],[],[],['0.1'],[],['0.67']
4,4,10024,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10024.pdf,5,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10024,10024.0,17.0,Apollo 11,,,Cont.  Bag,68.12,Basalt,Ilmenite,40.056999999999995,"December, 03 2014 00:00:00",True,,,"high K, medium-grained, intergranular, few vugs","['40.25', '39', '39.6', '40']","['11.9', '13.2', '12.5', '12.93']","['8.09', '9.5', '7.9', '7.2']","['19.46', '18.5', '19.8', '19.09']","['0.24', '0.24', '0.21', '0.23']","['7.53', '8.11', '7.13', '8.74']","['10.66', '10', '9.93', '10.1']","['0.52', '0.8', '0.49', '0.43']","['0.3', '0.28', '0.29', '0.41']","['0.2', '0.1']","['0.22', '0.26']",[],['76.2'],"['2610', '2737', '2290']","['32', '28.4']",['16'],['14'],['5'],[],[],[],"['5.96', '5.64']","['178', '167']",,['25'],[],[],[],[],[],[],[],[],[],[],[],"['310', '170', '285']","['39', '23']","['108', '76', '76.6']",['12'],"['55', '66.1']","['19.2', '23.4']",['2.21'],['28.6'],[],['33.6'],['8.1'],['19.3'],[],"['19.6', '16.6']",['3.2'],['20'],['2.4'],[],[],[],[],[],[],[],['0.67']
5,5,10029,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10029.pdf,4,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10029,10029.0,22.0,Apollo 11,,,Cont.  Bag,5.53,Basalt,Ilmenite,0.0,"December, 03 2014 00:00:00",True,,,"low K, medium-grained, ophitic, olivine in pyroxene","['38.59', '37.89']","['11.1', '12.15']","['10.24', '10.32']","['21.71', '20.49']","['0.3', '0.23']","['6.45', '7.53']","['10.3', '10.47']","['0.42', '0.39']","['0.08', '0.03']","['0.21', '0.09']",['0.23'],[],['79'],,['14.1'],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],['22.2'],['72'],[],[],['20.9'],['2.05'],[],['4.7'],[],[],[],[],['16.6'],['2.43'],['16'],['2.6'],[],[],[],[],[],[],['1.8'],[]
6,6,10031,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10031.pdf,3,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10031,10031.0,24.0,Apollo 11,,,Cont.  Bag,2.7,Basalt,Ilmenite,90.741,"September, 03 2014 00:00:00",True,,,"high K, vitrophyre, fine-grained to glassy groundmass, olivine & armalcolite w/ ilmenite phenocrysts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,10032,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10032.pdf,3,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10032,10032.0,25.0,Apollo 11,,,Cont.  Bag,3.13,Basalt,Ilmenite,0.0,"December, 03 2014 00:00:00",True,,,"high K, fine-grained, sl vesicles, olivine, pigeonite to augite, anorthositic",['39.49'],['13.06'],['7.08'],['19.37'],['0.27'],['8.81'],['10.21'],['0.45'],['0.28'],['0.11'],['0.36'],[],[],,[],[],[],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,8,10044,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10044.pdf,10,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10044,10044.0,26.0,Apollo 11,,,ALSRC 1003,247.5,Basalt,Cristobalite,50.43,"December, 03 2014 00:00:00",True,,,"low K, medium-grained, ophitic, vugs, cristobalite","['42.01', '43', '10024', '42.89']","['8.81', '10.5', '8.47']","['11.67', '11.9', '10.49']","['17.98', '17.1', '18.46']","['0.24', '0.26', '0.28']","['6.25', '6.47', '5.98']","['12.18', '11.7', '7.13', '12.4']","['0.48', '0.45', '0.48', '0.38']","['0.11', '0.094', '0.1', '0.29', '0.11']","['0.08', '0.12']",[],[],"['100', '92', '78']","['1700', '1300', '1250']","['12', '11', '9.5']","['9', '4.2']",[],"['5.1', '8.9']",[],[],[],"['0.886', '5.1', '5.64', '1.4']","['130', '167', '230']",,[],[],[],[],[],[],[],['3.2'],[],[],[],['0.034'],"['130', '95', '234', '285']","['12', '9.9']","['44', '76.6', '38']",[],"['50', '66.1']","['17.9', '23.4', '16.3']","['2.69', '2.21', '2.28']","['24', '28.6']","['4.5', '3.4']",['33.6'],[],['19.3'],[],"['15', '16.6', '13']","['1.96', '1.86']","['12', '11.6']","['2', '2.5']",['240'],[],[],[],[],['1.9'],"['0.98', '0.8']",['0.28']
9,9,10045,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10045.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10045,10045.0,27.0,Apollo 11,,,ALSRC 1003,185.0,Basalt,Olivine,12.126,"December, 03 2014 00:00:00",True,True,"10045,19","low K, fine-grained, ophitic, few vugs, few vesicles, olivine, pyroxene, anorthite, ilmenite","['42', '39.04', '42.6', '44.1']","['8', '11.32', '11.5', '12']","['13', '9.51', '10', '10.2']","['18', '19.4', '20.6', '21.2', '19.2']","['0.27', '0.27', '0.25', '0.27', '0.28']","['7', '7.73', '8.4', '9.8']","['10', '11.28', '11.6', '11.6']","['0.51', '0.36', '0.31', '0.31']","['0.1', '0.05', '0.055', '0.07', '0.048']",['0.1'],['0.15'],[],"['88', '92', '78']","['3500', '2400', '2730', '3200', '2320']","['7', '23', '23', '26', '16.1']","['6', '20', '6.2']","['14', '2.9']","['4', '3', '4']",[],[],['0.8'],"['1.9', '0.62', '0.8']","['60', '138', '144']",,['14'],[],[],[],[],['4.9'],[],['14'],[],['7.2'],[],[],"['115', '10', '370', '360', '95']","['16', '7.3', '6.7', '6.7']","['32', '22.5']",['6'],"['17', '21']","['10.1', '9.6', '7.94']","['1.5', '1.4', '1.52']",['12.3'],['2.11'],['14.4'],[],['8.7'],[],"['1.3', '10.5', '9.8', '8.6']","['1.4', '1.5', '1.17']","['9', '9', '7.7']",['1.8'],[],[],[],[],[],['0.2'],"['0.4', '1.8', '1.9']",[]
10,10,10047,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10047.pdf,8,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10047,10047.0,29.0,Apollo 11,,,ALSRC 1003,138.0,Basalt,Ilmenite,33.493,"December, 03 2014 00:00:00",True,True,,"low K, medium-grained, ophitic, few vugs, olivine in pyroxene","['42.16', '41.3', '43', '41.6', '44.5']","['9.43', '10.2', '10', '10.02', '10.8']","['9.89', '9.8', '10.6', '10.27', '7.4']","['19.11', '19', '19.4', '19.09', '21.9']","['0.28', '0.29', '0.27', '0.3', '0.35']","['5.67', '6.1', '5.8', '5.99', '6.8']","['12.15', '12.2', '12.2', '12.16', '13.6']","['0.45', '0.65', '0.47', '0.44', '0.35']","['0.11', '0.11', '0.1', '0.082']","['0.11', '0.11']",['0.18'],[],"['92', '92', '120']","['1220', '1505', '1250', '1480', '1810']","['16', '12.2', '11.3', '15']",['16'],['13'],"['4', '8.9']",[],[],[],"['1.11', '1.3']","['209', '219']",,['23'],[],[],[],[],[],[],[],[],[],[],[],"['88', '250']","['20', '11.3', '10.4', '8.5']","['48', '46', '39']",['13'],['36'],"['18.9', '15.8', '16.1']","['2.71', '2.51', '2.2']",[],"['4.1', '3.7']",[],['7.9'],[],[],"['18.2', '12.6', '18']","['2.88', '1.93', '2.3']","['13.2', '11.3', '15']","['2.6', '2.2']",[],[],[],[],[],[],"['0.6', '0.8', '2.4']",['0.16']
11,11,10049,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10049.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10049,10049.0,31.0,Apollo 11,,,ALSRC 1003,193.0,Basalt,Ilmenite,70.134,"December, 03 2014 00:00:00",True,,,"high K, very fine-grained, intergranular, vesicular to vuggy, pyroxene, anorthositic, ilmenite","['41', '42.8']","['11.3', '8']","['9.5', '8.5']","['18.7', '18.1']","['0.25', '0.21']","['7.03', '7.3']","['11', '8.81']","['0.54', '0.54', '0.71', '0.48']","['0.33', '0.35', '0.33', '0.35', '0.36', '0.27']",[],[],[],['80.9'],"['2190', '1960']",['24'],[],[],['4.3'],[],[],[],"['6.24', '6.2', '6.24', '6.2']","['161', '161', '180']",,[],[],[],[],[],[],[],['16'],[],[],[],"['0.166', '0.18', '0.166', '0.177']","['338', '330', '338', '330', '202']","['29.2', '28.8', '29.2', '28.8', '27.4']","['84.2', '82.8', '84.2', '82.8', '118']",[],"['64.3', '62.8', '64.3', '62.8', '59.1']","['22.5', '22.3', '22.5', '22.3', '12.8']","['2.31', '2.29', '2.31', '2.29', '2.11']","['29.6', '29.3', '29.6', '29.3']",['5.46'],"['34', '33.4', '34', '33.4']",[],"['21.2', '20.9', '21.2', '20.9']",[],"['20.2', '20.2', '18', '18', '16.4']",['2.45'],[],['2'],[],[],[],[],[],['1.1'],['4.03'],['0.814']
12,12,10050,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10050.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10050,10050.0,32.0,Apollo 11,,,ALSRC 1003,114.5,Basalt,Ilmenite,49.052,"September, 19 2014 00:00:00",True,,,"low K, medium-grained, subophitic to ophitic, vesicular to vuggy, microgabbro, olivine, pyroxene, anorthositic, ilmenite, cristobalite, xenoliths","['38', '40.9', '39.4']","['9', '11', '12.6', '11']","['11', '8.9', '10.4']","['20', '17.3', '17.5']","['0.5', '0.27', '0.26']","['10', '8', '10.8']","['10', '11.4', '11.3', '11.5']","['0.51', '0.35', '0.37', '0.66', '0.35']","['0.06', '0.065', '0.08', '0.05']",[],[],[],['88.9'],"['4800', '2400', '2120']","['10', '13.6']",['10'],[],['8'],[],[],[],"['0.8', '0.567', '0.75']","['140', '165', '171']",,[],[],[],[],[],[],[],[],[],[],[],['0.03'],"['60', '63.5', '92']","['6.77', '7.2']","['23.4', '34']",[],['24.8'],"['10.6', '11.9']","['1.84', '2']",['14.9'],['2.1'],['17.6'],['4.6'],['10.2'],[],"['2.7', '9.17', '11.1']",['1.96'],['8.6'],['2.2'],[],[],[],[],[],[],[],['0.2']
13,13,10057,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10057.pdf,11,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10057,10057.0,34.0,Apollo 11,,,ALSRC 1003,919.0,Basalt,Ilmenite,35.145,"March, 03 2015 00:00:00",True,True,,"high K, subophitic to intergranular, many vesicles, pyroxene, anorthositic, ilmenite, cristobalite","['39.79', '40.43']","['11.44', '10.84']","['10.84', '7.56']","['19.35', '18.01']","['0.2', '0.23']","['7.65', '6.96']","['10.08', '11.75']","['0.54', '0.4']","['0.32', '0.24']",['0.17'],[],[],"['100', '87']","['2400', '2160']","['21', '25.4', '27.2']","['11', '4.3', '3.52']",['1.7'],"['5.2', '4.9']",['70'],[],[],"['5.2', '3.68']","['130', '100']",,[],[],[],[],"['10', '7.3']",['0.69'],['3.15'],"['2.7', '3', '3.2']",[],[],['8'],"['0.2', '0.159']","['130', '208']",['25'],['79'],['9'],['60'],['20'],['1.8'],['30'],['5'],['24'],['5.5'],['16'],[],"['16', '16.8']",['2.15'],['16.9'],['2'],['430'],[],[],"['0.1', '0.023']",[],"['1.6', '0.3', '0.017']","['3.94', '3.27']","['0.8', '0.97']"
14,14,10058,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10058.pdf,8,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10058,10058.0,35.0,Apollo 11,,,ALSRC 1003,282.0,Basalt,Ilmenite,87.947,"November, 26 2014 00:00:00",True,,,"low K, medium-grained, ophitic, few vugs, olivine in pyroxene, pyroxene, ilmenite, anorthite, cristobalite",,,,,,,,,,[],[],[],['76'],,,[],[],['12'],['2.7'],[],[],,,,[],[],[],[],[],[],[],[],[],[],[],['0.04'],,['9.7'],['33'],[],['20'],['41'],['2.3'],[],['4.3'],[],[],['0.57'],['0.71'],,['2.1'],['10.8'],['1.9'],[],[],[],[],[],[],['0.84'],[]
15,15,10062,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10062.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10062,10062.0,40.0,Apollo 11,,,ALSRC 1004,78.5,Basalt,Ilmenite,35.073,"December, 03 2014 00:00:00",True,,,"low K, medium-grained, ophitic, few vugs, olivine, pyroxene, anorthositic, cristobalite","['39.8', '38.8']","['10.74', '10.7', '10.3']","['10.22', '12.1']","['19.22', '18.3']","['0.3', '0.27', '0.23']","['7.08', '7.21']","['11.47', '10.8', '12']","['0.41', '0.44', '0.69', '0.42']","['0.08', '0.076', '0.07']",['0.12'],['0.16'],['99.6'],['74.7'],"['1710', '1540']",['13.8'],[],['11'],['3'],[],[],[],"['0.89', '0.9']","['187.8', '141.6']",,[],[],[],[],[],[],[],[],[],[],[],[],"['79.9', '230']","['13.8', '13.1']","['42.7', '38']",[],['37'],"['13.3', '11.9']","['2.02', '2.07']",['17.2'],['3.3'],['20.4'],['4.4'],['12'],[],"['12.1', '13.5']","['1.73', '1.94']",['11.8'],['1'],[],[],[],[],[],[],['0.9'],['0.27']
16,16,10069,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10069.pdf,6,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10069,10069.0,47.0,Apollo 11,,,ALSRC 1004,119.5,Basalt,Ilmenite,61.09,"December, 03 2014 00:00:00",True,,,"high K, very fine-grained, intergranular, vesicles, pyroxene, anorthositic, ilmenite","['39.1', '40.32']","['12', '11.59']","['7.1', '7.9']","['18.1', '19.61']","['0.21', '0.31', '0.236']","['6.1', '7.77']","['10.07', '9.9', '10.7']","['0.46', '0.49', '0.59']","['0.29', '0.286']",['0.2'],['0.259'],['99.461'],"['72.4', '94']","['2130', '2760', '2490']","['26', '30', '27']","['12', '8.7']",[],['4.8'],[],[],[],"['5.7', '5.5', '6.8', '5.6']","['156', '130', '166', '165']",,"['20', '29']",[],[],[],[],[],[],[],[],[],[],['0.163'],"['288', '250', '315', '277']","['23.7', '27']",['65'],[],[],['18'],['2.04'],[],['4.8'],[],['6.9'],[],[],['20.8'],['2.67'],['17.8'],['2.7'],[],[],[],[],[],[],[],['0.78']
