,id,compendiumUrl,numPages,curatorApiUrl,GENERIC,SAMPLEID,MISSION,STATION,LANDMARK,BAGNUMBER,ORIGINALWEIGHT,SAMPLETYPE,SAMPLESUBTYPE,PRISTINITY,PRISTINITYDATE,HASTHINSECTION,HASDISPLAYSAMPLE,DISPLAYSAMPLENUMBER,GENERICDESCRIPTION
0,10003,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10003.pdf,10,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10003,10003,4,Apollo 11,,,ALSRC 1004,213.0,Basalt,Ilmenite,65.562,"January, 26 2015 00:00:00",True,,,"low K, medium-grained, ophitic, few vugs, cristobalite"
1,10017,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10017.pdf,14,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10017,10017,10,Apollo 11,,,ALSRC 1004,973.0,Basalt,Ilmenite,43.711,"March, 03 2015 00:00:00",True,True,"10017,37","high K, fine-grained, olivine, few vesicles and vugs"
2,10020,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10020.pdf,9,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10020,10020,13,Apollo 11,,,ALSRC 1004,425.0,Basalt,Ilmenite,27.881,"February, 19 2015 00:00:00",True,True,"10020,57","low K, fine-grained, subophitic to intergranular, moderate vesicles & vugs, cristobalite, large olivine"
3,10022,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10022.pdf,5,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10022,10022,15,Apollo 11,,,Cont.  Bag,95.59,Basalt,Ilmenite,42.19,"December, 03 2014 00:00:00",True,,,"high K, fine-grained, subophitic, many large vesicles"
4,10024,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10024.pdf,5,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10024,10024,17,Apollo 11,,,Cont.  Bag,68.12,Basalt,Ilmenite,40.057,"December, 03 2014 00:00:00",True,,,"high K, medium-grained, intergranular, few vugs"
5,10029,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10029.pdf,4,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10029,10029,22,Apollo 11,,,Cont.  Bag,5.53,Basalt,Ilmenite,0.0,"December, 03 2014 00:00:00",True,,,"low K, medium-grained, ophitic, olivine in pyroxene"
6,10031,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10031.pdf,3,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10031,10031,24,Apollo 11,,,Cont.  Bag,2.7,Basalt,Ilmenite,90.741,"September, 03 2014 00:00:00",True,,,"high K, vitrophyre, fine-grained to glassy groundmass, olivine & armalcolite w/ ilmenite phenocrysts"
7,10032,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10032.pdf,3,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10032,10032,25,Apollo 11,,,Cont.  Bag,3.13,Basalt,Ilmenite,0.0,"December, 03 2014 00:00:00",True,,,"high K, fine-grained, sl vesicles, olivine, pigeonite to augite, anorthositic"
8,10044,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10044.pdf,10,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10044,10044,26,Apollo 11,,,ALSRC 1003,247.5,Basalt,Cristobalite,50.43,"December, 03 2014 00:00:00",True,,,"low K, medium-grained, ophitic, vugs, cristobalite"
9,10045,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10045.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10045,10045,27,Apollo 11,,,ALSRC 1003,185.0,Basalt,Olivine,12.126,"December, 03 2014 00:00:00",True,True,"10045,19","low K, fine-grained, ophitic, few vugs, few vesicles, olivine, pyroxene, anorthite, ilmenite"
10,10047,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10047.pdf,8,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10047,10047,29,Apollo 11,,,ALSRC 1003,138.0,Basalt,Ilmenite,33.493,"December, 03 2014 00:00:00",True,True,,"low K, medium-grained, ophitic, few vugs, olivine in pyroxene"
11,10049,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10049.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10049,10049,31,Apollo 11,,,ALSRC 1003,193.0,Basalt,Ilmenite,70.134,"December, 03 2014 00:00:00",True,,,"high K, very fine-grained, intergranular, vesicular to vuggy, pyroxene, anorthositic, ilmenite"
12,10050,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10050.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10050,10050,32,Apollo 11,,,ALSRC 1003,114.5,Basalt,Ilmenite,49.052,"September, 19 2014 00:00:00",True,,,"low K, medium-grained, subophitic to ophitic, vesicular to vuggy, microgabbro, olivine, pyroxene, anorthositic, ilmenite, cristobalite, xenoliths"
13,10057,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10057.pdf,11,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10057,10057,34,Apollo 11,,,ALSRC 1003,919.0,Basalt,Ilmenite,35.145,"March, 03 2015 00:00:00",True,True,,"high K, subophitic to intergranular, many vesicles, pyroxene, anorthositic, ilmenite, cristobalite"
14,10058,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10058.pdf,8,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10058,10058,35,Apollo 11,,,ALSRC 1003,282.0,Basalt,Ilmenite,87.947,"November, 26 2014 00:00:00",True,,,"low K, medium-grained, ophitic, few vugs, olivine in pyroxene, pyroxene, ilmenite, anorthite, cristobalite"
15,10062,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10062.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10062,10062,40,Apollo 11,,,ALSRC 1004,78.5,Basalt,Ilmenite,35.073,"December, 03 2014 00:00:00",True,,,"low K, medium-grained, ophitic, few vugs, olivine, pyroxene, anorthositic, cristobalite"
16,10069,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10069.pdf,6,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10069,10069,47,Apollo 11,,,ALSRC 1004,119.5,Basalt,Ilmenite,61.09,"December, 03 2014 00:00:00",True,,,"high K, very fine-grained, intergranular, vesicles, pyroxene, anorthositic, ilmenite"
17,10071,https://www.lpi.usra.edu/lunar/samples/atlas/compendium/10071.pdf,7,https://curator.jsc.nasa.gov/rest/lunarapi/samples/sampledetails/10071,10071,49,Apollo 11,,,ALSRC 1004,189.5,Basalt,Ilmenite,68.016,"January, 26 2015 00:00:00",True,,,"high K, fine-grained, intergranular, large vesicles, olivine in pyroxene, pyroxene, anorthositic, armalcolite"
